Task,TabuLa-8B (0 shots),TabuLa-8B (1 shots),TabuLa-8B (2 shots),TabuLa-8B (3 shots),TabuLa-8B (4 shots),TabuLa-8B (8 shots),TabuLa-8B (16 shots),TabuLa-8B (32 shots),TabuLa-8B (64 shots),TabuLa-8B (128 shots),Random Baseline
unipredict/arnavsmayan/netflix-userbase-dataset,0.344,0.219,0.258,0.352,0.305,0.305,0.32,0.352,0.281,,0.333
unipredict/arnavsmayan/vehicle-manufacturing-dataset,0.055,0.055,0.055,0.039,0.047,0.086,0.07,0.062,,,0.059
unipredict/arslanr369/bitcoin-price-2014-2023,1.0,0.992,0.977,0.977,0.992,1.0,1.0,0.984,,,0.25
unipredict/ashishkumarjayswal/diabetes-dataset,0.516,0.672,0.641,0.758,0.68,0.711,0.648,0.742,0.719,,0.5
unipredict/ashishkumarjayswal/movies-updated-data,0.656,0.578,0.539,0.617,0.555,0.555,0.555,0.641,,,0.091
unipredict/atharvaingle/crop-recommendation-dataset,0.055,0.141,0.156,0.266,0.32,0.359,0.562,0.695,,,0.045
unipredict/awaiskaggler/insurance-csv,0.398,0.492,0.547,0.633,0.547,0.695,0.547,0.695,,,0.25
unipredict/azminetoushikwasi/-lionel-messi-all-club-goals,0.219,0.352,0.398,0.469,0.414,0.523,0.531,0.469,,,0.111
unipredict/barun2104/telecom-churn,0.844,0.836,0.82,0.758,0.836,0.883,0.875,0.836,,,0.5
unipredict/bhanupratapbiswas/bollywood-actress-name-and-movie-list,0.258,0.383,0.516,0.445,0.43,0.57,0.641,0.656,,,0.125
unipredict/bhanupratapbiswas/fashion-products,0.359,0.336,0.352,0.312,0.367,0.375,0.328,0.406,0.234,,0.333
unipredict/bhanupratapbiswas/uber-data-analysis,0.617,0.57,0.742,0.781,0.82,0.883,0.898,0.922,0.922,,0.5
unipredict/bhanupratapbiswas/world-top-billionaires,0.383,0.539,0.492,0.461,0.531,0.523,0.758,,,,0.25
unipredict/bharath011/heart-disease-classification-dataset,0.531,0.5,0.609,0.531,0.641,0.641,0.648,0.844,0.883,,0.5
unipredict/bhavkaur/hotel-guests-dataset,0.43,0.438,0.484,0.641,0.594,0.805,0.75,0.867,,,0.333
unipredict/bhavkaur/simplified-titanic-dataset,0.555,0.57,0.602,0.578,0.523,0.648,0.688,0.734,0.711,0.695,0.5
unipredict/blastchar/telco-customer-churn,0.711,0.703,0.703,0.68,0.719,0.602,0.703,0.711,,,0.5
unipredict/bretmathyer/telemedicine-used,0.5,0.594,0.539,0.617,0.555,0.578,0.695,,,,0.5
unipredict/buntyshah/auto-insurance-claims-data,0.602,0.695,0.656,0.602,0.594,0.602,0.578,,,,0.5
unipredict/carolzhangdc/imdb-5000-movie-dataset,0.484,0.516,0.531,0.586,0.516,0.523,0.594,,,,0.25
unipredict/chirin/africa-economic-banking-and-systemic-crisis-data,0.953,0.953,0.938,0.969,0.953,0.898,0.969,0.977,,,0.5
unipredict/christinestevens/cstevens-peloton-data,0.984,1.0,0.992,0.992,0.992,0.992,1.0,1.0,,,0.143
unipredict/cpluzshrijayan/milkquality,0.406,0.422,0.469,0.336,0.406,0.547,0.5,0.711,0.781,,0.333
unipredict/crxxom/manhwa-dataset,0.695,0.734,0.805,0.852,0.859,0.898,0.922,,,,0.25
